Source page: https://opencorporates.com/companies/jurisdictions,
add_filter_link,add_filter_link/_text,add_filter_link/_title,count_number
"https://opencorporates.com/companies/ae_az","Abu Dhabi (UAE)","restrict to Abu Dhabi (UAE)","1297"
"https://opencorporates.com/companies/us_al","Alabama (US)","restrict to Alabama (US)","213708"
"https://opencorporates.com/companies/us_ak","Alaska (US)","restrict to Alaska (US)","120587"
"https://opencorporates.com/companies/al","Albania","restrict to Albania","40213"
"https://opencorporates.com/companies/us_az","Arizona (US)","restrict to Arizona (US)","848620"
"https://opencorporates.com/companies/us_ar","Arkansas (US)","restrict to Arkansas (US)","413479"
"https://opencorporates.com/companies/aw","Aruba","restrict to Aruba","47159"
"https://opencorporates.com/companies/au","Australia","restrict to Australia","2275625"
"https://opencorporates.com/companies/bs","Bahamas","restrict to Bahamas","165550"
"https://opencorporates.com/companies/bh","Bahrain","restrict to Bahrain","69221"
"https://opencorporates.com/companies/bd","Bangladesh","restrict to Bangladesh","88555"
"https://opencorporates.com/companies/bb","Barbados","restrict to Barbados","30129"
"https://opencorporates.com/companies/be","Belgium","restrict to Belgium","943454"
"https://opencorporates.com/companies/bm","Bermuda","restrict to Bermuda","45568"
"https://opencorporates.com/companies/us_ca","California (US)","restrict to California (US)","3530938"
"https://opencorporates.com/companies/ca","Canada","restrict to Canada","706317"
"https://opencorporates.com/companies/us_ct","Connecticut (US)","restrict to Connecticut (US)","656481"
"https://opencorporates.com/companies/hr","Croatia","restrict to Croatia","179591"
"https://opencorporates.com/companies/cy","Cyprus","restrict to Cyprus","346492"
"https://opencorporates.com/companies/dk","Denmark","restrict to Denmark","674053"
"https://opencorporates.com/companies/us_dc","District of Columbia (US)","restrict to District of Columbia (US)","220741"
"https://opencorporates.com/companies/do","Dominican Republic","restrict to Dominican Republic","369991"
"https://opencorporates.com/companies/ae_du","Dubai (UAE)","restrict to Dubai (UAE)","1552"
"https://opencorporates.com/companies/fi","Finland","restrict to Finland","461934"
"https://opencorporates.com/companies/us_fl","Florida (US)","restrict to Florida (US)","6572879"
"https://opencorporates.com/companies/us_ga","Georgia (US)","restrict to Georgia (US)","1672958"
"https://opencorporates.com/companies/gi","Gibraltar","restrict to Gibraltar","104852"
"https://opencorporates.com/companies/gl","Greenland","restrict to Greenland","8995"
"https://opencorporates.com/companies/us_hi","Hawaii (US)","restrict to Hawaii (US)","297531"
"https://opencorporates.com/companies/hk","Hong Kong","restrict to Hong Kong","1883061"
"https://opencorporates.com/companies/is","Iceland","restrict to Iceland","144756"
"https://opencorporates.com/companies/us_id","Idaho (US)","restrict to Idaho (US)","233544"
"https://opencorporates.com/companies/in","India","restrict to India","1484947"
"https://opencorporates.com/companies/us_ia","Iowa (US)","restrict to Iowa (US)","459434"
"https://opencorporates.com/companies/ie","Ireland","restrict to Ireland","553584"
"https://opencorporates.com/companies/im","Isle of Man","restrict to Isle of Man","146252"
"https://opencorporates.com/companies/jm","Jamaica","restrict to Jamaica","88047"
"https://opencorporates.com/companies/je","Jersey","restrict to Jersey","115614"
"https://opencorporates.com/companies/us_ks","Kansas (US)","restrict to Kansas (US)","486815"
"https://opencorporates.com/companies/lv","Latvia","restrict to Latvia","355317"
"https://opencorporates.com/companies/li","Liechtenstein","restrict to Liechtenstein","132694"
"https://opencorporates.com/companies/us_la","Louisiana (US)","restrict to Louisiana (US)","908802"
"https://opencorporates.com/companies/lu","Luxembourg","restrict to Luxembourg","179876"
"https://opencorporates.com/companies/us_me","Maine (US)","restrict to Maine (US)","107404"
"https://opencorporates.com/companies/mt","Malta","restrict to Malta","56683"
"https://opencorporates.com/companies/us_md","Maryland (US)","restrict to Maryland (US)","1027406"
"https://opencorporates.com/companies/us_ma","Massachusetts (US)","restrict to Massachusetts (US)","966498"
"https://opencorporates.com/companies/mu","Mauritius","restrict to Mauritius","133696"
"https://opencorporates.com/companies/mx","Mexico","restrict to Mexico","1004690"
"https://opencorporates.com/companies/us_mi","Michigan (US)","restrict to Michigan (US)","1849953"
"https://opencorporates.com/companies/us_mn","Minnesota (US)","restrict to Minnesota (US)","245007"
"https://opencorporates.com/companies/us_ms","Mississippi (US)","restrict to Mississippi (US)","493167"
"https://opencorporates.com/companies/us_mo","Missouri (US)","restrict to Missouri (US)","1231692"
"https://opencorporates.com/companies/me","Montenegro","restrict to Montenegro","69864"
"https://opencorporates.com/companies/mm","Myanmar","restrict to Myanmar","42064"
"https://opencorporates.com/companies/nl","Netherlands","restrict to Netherlands","2497253"
"https://opencorporates.com/companies/ca_nb","New Brunswick (Canada)","restrict to New Brunswick (Canada)","165130"
"https://opencorporates.com/companies/us_nh","New Hampshire (US)","restrict to New Hampshire (US)","533478"
"https://opencorporates.com/companies/us_nj","New Jersey (US)","restrict to New Jersey (US)","1178768"
"https://opencorporates.com/companies/us_nm","New Mexico (US)","restrict to New Mexico (US)","343184"
"https://opencorporates.com/companies/us_ny","New York (US)","restrict to New York (US)","4365637"
"https://opencorporates.com/companies/nz","New Zealand","restrict to New Zealand","1154626"
"https://opencorporates.com/companies/ca_nl","Newfoundland and Labrador (Ca...","restrict to Newfoundland and Labrador (Canada)","84504"
"https://opencorporates.com/companies/us_nc","North Carolina (US)","restrict to North Carolina (US)","1261694"
"https://opencorporates.com/companies/no","Norway","restrict to Norway","749272"
"https://opencorporates.com/companies/ca_ns","Nova Scotia (Canada)","restrict to Nova Scotia (Canada)","142250"
"https://opencorporates.com/companies/us_oh","Ohio (US)","restrict to Ohio (US)","1666555"
"https://opencorporates.com/companies/us_ok","Oklahoma (US)","restrict to Oklahoma (US)","466085"
"https://opencorporates.com/companies/us_or","Oregon (US)","restrict to Oregon (US)","717390"
"https://opencorporates.com/companies/pk","Pakistan","restrict to Pakistan","71729"
"https://opencorporates.com/companies/pa","Panama","restrict to Panama","831248"
"https://opencorporates.com/companies/us_pa","Pennsylvania (US)","restrict to Pennsylvania (US)","1801222"
"https://opencorporates.com/companies/pl","Poland","restrict to Poland","393491"
"https://opencorporates.com/companies/ca_pe","Prince Edward Island (Canada)","restrict to Prince Edward Island (Canada)","28089"
"https://opencorporates.com/companies/pr","Puerto Rico","restrict to Puerto Rico","331325"
"https://opencorporates.com/companies/ca_qc","Quebec (Canada)","restrict to Quebec (Canada)","1880852"
"https://opencorporates.com/companies/us_ri","Rhode Island (US)","restrict to Rhode Island (US)","96118"
"https://opencorporates.com/companies/ro","Romania","restrict to Romania","1411207"
"https://opencorporates.com/companies/rw","Rwanda","restrict to Rwanda","13152"
"https://opencorporates.com/companies/sg","Singapore","restrict to Singapore","902851"
"https://opencorporates.com/companies/si","Slovenia","restrict to Slovenia","124104"
"https://opencorporates.com/companies/za","South Africa","restrict to South Africa","1559848"
"https://opencorporates.com/companies/us_sc","South Carolina (US)","restrict to South Carolina (US)","717744"
"https://opencorporates.com/companies/us_sd","South Dakota (US)","restrict to South Dakota (US)","126307"
"https://opencorporates.com/companies/es","Spain","restrict to Spain","2643019"
"https://opencorporates.com/companies/se","Sweden","restrict to Sweden","1209914"
"https://opencorporates.com/companies/tj","Tajikistan","restrict to Tajikistan","33338"
"https://opencorporates.com/companies/tz","Tanzania","restrict to Tanzania","101318"
"https://opencorporates.com/companies/us_tn","Tennessee (US)","restrict to Tennessee (US)","687894"
"https://opencorporates.com/companies/th","Thailand","restrict to Thailand","1199710"
"https://opencorporates.com/companies/to","Tonga","restrict to Tonga","1921"
"https://opencorporates.com/companies/tn","Tunisia","restrict to Tunisia","83316"
"https://opencorporates.com/companies/ug","Uganda","restrict to Uganda","183624"
"https://opencorporates.com/companies/gb","United Kingdom","restrict to United Kingdom","8774435"
"https://opencorporates.com/companies/us_ut","Utah (US)","restrict to Utah (US)","314394"
"https://opencorporates.com/companies/vu","Vanuatu","restrict to Vanuatu","5147"
"https://opencorporates.com/companies/us_vt","Vermont (US)","restrict to Vermont (US)","91979"
"https://opencorporates.com/companies/vn","Viet Nam","restrict to Viet Nam","84211"
"https://opencorporates.com/companies/us_va","Virginia (US)","restrict to Virginia (US)","793536"
"https://opencorporates.com/companies/us_wa","Washington (US)","restrict to Washington (US)","949899"
"https://opencorporates.com/companies/us_wv","West Virginia (US)","restrict to West Virginia (US)","313915"
"https://opencorporates.com/companies/us_wy","Wyoming (US)","restrict to Wyoming (US)","284913"
